,,feasible_rate,feasible_rate,synthetic_oracle_feasible_rate,synthetic_oracle_feasible_rate,hypervolume,hypervolume,pareto_points,pareto_points
,,mean,std,mean,std,mean,std,mean,std
condition,method,,,,,,,,
1,nsga2,0.8739149305555557,0.00776715719104746,0.8576388888888888,0.02576623001726601,6.310069084086866,0.012088131330603163,874.6666666666666,47.961790347456116
1,ppo,0.4518229166666667,0.06693075642482285,0.4678819444444444,0.06200410001226076,6.080648723530043,0.06328852099708834,443.3333333333333,104.74890611998453
1,random,0.2996961805555555,0.012220406445573857,0.3075086805555555,0.008981858544520334,5.930592900150059,0.017784156521914105,230.33333333333334,15.01110699893027
2,nsga2,0.880859375,0.008612471715705072,0.8665364583333334,0.022164120482485998,6.2931307783439,0.045048636812088115,859.0,22.60530911091463
2,ppo,0.45073784722222227,0.06808393582975372,0.470703125,0.06364244484296841,6.0301143548545575,0.11649630808958233,442.3333333333333,110.03787226829375
2,random,0.3005642361111111,0.012115906989763746,0.3075086805555555,0.008981858544520334,5.931087447121693,0.011828594568370153,229.66666666666666,9.018499505645789
3,nsga2,0.8498263888888888,0.02054996632145852,0.8667534722222222,0.016589856643764198,5.0853473192475525,0.09594694813182039,659.0,68.98550572402873
3,ppo,0.12912326388888887,0.013922756017660964,0.16124131944444445,0.06010187801041703,4.160749801392888,0.19305011697070243,164.66666666666666,5.1316014394468805
3,random,0.19921875,0.007675668048536179,0.24739583333333334,0.010334966058846037,4.697496226968407,0.09048279175571965,178.33333333333334,5.5075705472860985
