method,candidates,feasible_rate,pareto_points,hypervolume,hv_points_outside_reference,mean_normalized_violation,best_feasible_profit,synthetic_oracle_feasible_rate,surrogate_feasible_but_oracle_infeasible_rate,search_seconds,search_evaluations,condition,seed,data_source,policy_batch_size,policy_batch_ms_p50,policy_batch_ms_p95,latency_scope,training_seconds,training_evaluations,policy_rollout_evaluations
nsga2,1536,0.8763020833333334,831,6.306269509222403,0,0.0017498808584943209,710588.4895891976,0.869140625,0.029947916666666668,0.3934678000000531,1536.0,1,11,synthetic-demo,,,,,,,
random,1536,0.310546875,245,5.938994729666177,0,0.022791211621049055,683996.7631944538,0.3177083333333333,0.021484375,0.03404920000002676,1536.0,1,11,synthetic-demo,,,,,,,
ppo,1536,0.5266927083333334,552,6.039182452005434,0,0.008296711574851718,728412.6707189601,0.5338541666666666,0.016927083333333332,,,1,11,synthetic-demo,64.0,0.6386000002294168,0.7043649997967805,"CPU policy forward pass, excludes surrogate and I/O",10.322415799999817,16384.0,1536.0
nsga2,1536,0.865234375,867,6.300337218919276,0,0.0021387731329159305,701075.789072639,0.8756510416666666,0.011067708333333334,0.3792001000001619,1536.0,1,23,synthetic-demo,,,,,,,
random,1536,0.2864583333333333,215,5.910164441869258,0,0.02273339111613443,688038.4414130788,0.3040364583333333,0.014322916666666666,0.03267490000007456,1536.0,1,23,synthetic-demo,,,,,,,
ppo,1536,0.4309895833333333,435,6.049268059446391,0,0.0052360855776379285,727052.0139779773,0.458984375,0.020182291666666668,,,1,23,synthetic-demo,64.0,0.7537000001320848,1.0030050000978008,"CPU policy forward pass, excludes surrogate and I/O",10.37364179999986,16384.0,1536.0
nsga2,1536,0.8802083333333334,926,6.323600524118918,0,0.0020311535821263393,712375.0358122211,0.828125,0.059244791666666664,0.4132801999999174,1536.0,1,42,synthetic-demo,,,,,,,
random,1536,0.3020833333333333,231,5.942619528914743,0,0.023389693599862208,665006.9624249802,0.30078125,0.026692708333333332,0.03405650000013338,1536.0,1,42,synthetic-demo,,,,,,,
ppo,1536,0.3977864583333333,343,6.153495659138304,0,0.003577032508506336,724338.0446989109,0.4108072916666667,0.01171875,,,1,42,synthetic-demo,64.0,0.7072000000789558,0.9526299999379257,"CPU policy forward pass, excludes surrogate and I/O",10.879078699999809,16384.0,1536.0
nsga2,1536,0.87109375,834,6.31561513806441,0,0.0016615137385382094,703989.179225593,0.87109375,0.0234375,0.39108600000008664,1536.0,2,11,synthetic-demo,,,,,,,
random,1536,0.3118489583333333,239,5.943263817817906,0,0.022796530041781563,684460.9909244691,0.3177083333333333,0.020833333333333332,0.036827099999754864,1536.0,2,11,synthetic-demo,,,,,,,
ppo,1536,0.52734375,554,6.044044040589561,0,0.008328278105723518,728185.3782906509,0.5384114583333334,0.017578125,,,2,11,synthetic-demo,64.0,0.7236000001284992,0.7899250000718894,"CPU policy forward pass, excludes surrogate and I/O",11.368706499999917,16384.0,1536.0
nsga2,1536,0.8873697916666666,865,6.241265700327599,0,0.002126342848161368,710329.39897278,0.8860677083333334,0.01171875,0.4490013999998155,1536.0,2,23,synthetic-demo,,,,,,,
