condition,seed,target,r2,rmse
1,11,cu_out,0.9757484535450789,0.21568946130321878
1,11,as_out,0.9878023544729301,0.07682081596697855
1,11,voltage,0.9981760949537604,0.20293853094187536
1,23,cu_out,0.9747622043220399,0.21602351590724803
1,23,as_out,0.98823949881101,0.07471314426598918
1,23,voltage,0.9982176255590742,0.20284291739013247
1,42,cu_out,0.9762586676970173,0.2113393156462757
1,42,as_out,0.9889662808681604,0.07369233303316021
1,42,voltage,0.9980402614297377,0.21070527931023503
2,11,cu_out,0.9758030648158066,0.21544647238099396
2,11,as_out,0.9878019293923938,0.07682215453469977
2,11,voltage,0.9981798043464908,0.20273206135447544
2,23,cu_out,0.9747751165391428,0.21596824762161695
2,23,as_out,0.9882022164376576,0.07483147592537273
2,23,voltage,0.9982163008756303,0.20291828111308433
2,42,cu_out,0.9761817958855201,0.21168118581507894
2,42,as_out,0.9889717310783848,0.07367413027157481
2,42,voltage,0.9980309510958092,0.21120519600891666
3,11,cu_out,0.909801347211182,0.3166197175916972
3,11,as_out,0.9537318296252603,0.11164593780433837
3,11,voltage,0.9866816739006337,0.38574024848424837
3,23,cu_out,0.9013178376169575,0.3307935652713
3,23,as_out,0.9495541152682385,0.11428667078409965
3,23,voltage,0.9873936249439433,0.360950703393791
3,42,cu_out,0.9090481147721184,0.31041303613440824
3,42,as_out,0.9495792382138252,0.11288037708677134
3,42,voltage,0.9869637870461669,0.3737777696649038
